brand,model,type,energy_class,area,functions,guarantee,curr_price,prev_price,min_power,max_power,min_temp,max_temp
VIVAX,ACP-12CH35AEFIs R32,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,30,Внесете свежина во вашите домашни и деловни простории и во најтешките летни денови!,5,17990.0,20990.0,3517,3810,-10,50
TESLA,CLASSIC TA36FFLL-1232IA,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,35,/,3,18990.0,,3400,3500,-15,49
VIVAX,ACP-12CH35AEXIs R32,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,30,/,5,19990.0,24990.0,3520,3810,-15,50
VIVAX,ACP-09CH25AEQIS R32,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,25,"Висока ефикасност, прикажување на самодијагноза, индикатор за истекување на гасот за разладување, 1W standby, турбо, заштита на вентил на надворешна единица, интелегентно отопување, 12 Fan Speed, безшумна опција, двосмерен одвод на кондензат, дигитален екран.",5,19990.0,22990.0,2638,2930,-15,50
VIVAX,ACP-09PT25AEG,МОБИЛНИ КЛИМА УРЕДИ,A,25,"Тајмер, 3 стапки на проток на воздух, Рачно ракување, Повеќенасочни тркала.",3,19990.0,,2640,2640,17,35
TOSOT,MUSE PREMIUM TWH12AFBXB-K6DNA5A,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,30,"Произведено од GREE. Самодијагноза, интелегентно отопување, аuto restart, нормален sleep mode,тајмер, turbo",3,19990.0,31990.0,3200,3400,-15,43
VIVAX,ACP-09CH25AEMIS R32,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,25,"Висока ефикасност, самодијагноза, 1W standby, заштита на вентил надворешна единица, 12 Fan Speed, self cleaning, индикатор за истекување на гасот за разладување, безшумна операција, двосмерен одвод на кондензат, дигитален екран, sleep mode, тајмер, интелегентно отопување, memory функција, турбо, припрема за Wi-Fi  ( WiFi ready )",5,19990.0,24990.0,2638,2930,-15,50
VIVAX,ACP-12CH35AEQIS R32,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,35,"Висока ефикасност, прикажување на самодијагноза, индикатор за истекување на гасот за разладување, 1W standby, турбо, заштита на вентил на надворешна единица, интелегентно отопување, 12 Fan Speed, безшумна опција, двосмерен одвод на кондензат, дигитален екран.",5,20990.0,25990.0,3517,3810,-15,50
TESLA,CLASSIC TT34EX21-1232IA,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,35,/,3,20990.0,25990.0,3400,3420,-20,53
VIVAX,ACP-12CH35AEMIS R32,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,35,"-ГРАТИС WI-FI МОДУЛ!
Висока ефикасност, самодијагноза, 1W standby, заштита на вентил надворешна единица, висока ефикасност, 12 Fan Speed, self cleaning, индикатор за истекување на гасот за разладување, безшумна операција, двосмерен одвод на кондензат, дигитален екран, sleep mode, тајмер, интелегентно отопување, memory функција, турбо.",5,21990.0,27990.0,3517,3810,-15,50
TESLA,SELECT TT34EX81-1232IAW,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,35,/,3,21990.0,26990.0,3400,3420,-20,53
TESLA,PORTABLE TTMYW-12CHW,МОБИЛНИ КЛИМА УРЕДИ,A,30,/,3,22990.0,,3200,2900,0,0
TESLA,SELECT STYLE TT34EX82BM-1232IAW,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,35,Стерилизација на 56°C,3,22990.0,,3400,3420,-20,53
TESLA,SELECT STYLE TT34EX82SM-1232IAW,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,35,Стерилизација на 56°C,3,22990.0,,3400,3420,-20,53
GREE,Charmo Premium GWH12ATBXB-K6DNA1D,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,30,"GREE компресор со магнети од ретки метали (Rare Earth Magnet)
Функции",10,22990.0,26990.0,3200,3400,-15,43
TCL,Elite Lite TAC-12CHSD/XA73IF,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,35,/,3,22990.0,25990.0,3400,3420,-20,53
VIVAX,ACP-12CH35AENI R32,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,35,/,5,22990.0,27990.0,3517,3810,-20,50
TESLA,PORTABLE TTMYB-12CHW,МОБИЛНИ КЛИМА УРЕДИ,A,30,/,3,23590.0,,3200,2900,0,0
